================ Training Loss (Sat Aug  1 17:36:29 2026) ================
[Rank 0] (epoch: 1, iters: 1600, time: 0.001, data: 0.077) , D_A: 0.838, G_A: 0.227, cycle_A: 0.982, D_B: 0.699, G_B: 1.358, cycle_B: 0.950, gp: 0.404

[Rank 0] (epoch: 1, iters: 3200, time: 0.001, data: 0.001) , D_A: 0.658, G_A: 0.704, cycle_A: 0.701, D_B: 0.607, G_B: 0.244, cycle_B: 0.689, gp: 0.354

[Rank 0] (epoch: 1, iters: 4800, time: 0.001, data: 0.001) , D_A: 0.569, G_A: 0.365, cycle_A: 0.470, D_B: 0.448, G_B: 0.370, cycle_B: 0.463, gp: 0.252

[Rank 0] (epoch: 1, iters: 6400, time: 0.001, data: 0.001) , D_A: 0.471, G_A: 1.078, cycle_A: 0.368, D_B: 0.505, G_B: 0.527, cycle_B: 0.388, gp: 0.350

[Rank 0] (epoch: 1, iters: 8000, time: 0.001, data: 0.001) , D_A: 0.479, G_A: 0.336, cycle_A: 0.341, D_B: 0.464, G_B: 0.856, cycle_B: 0.497, gp: 0.312

[Rank 0] (epoch: 1, iters: 9600, time: 0.001, data: 0.001) , D_A: 0.456, G_A: 0.849, cycle_A: 0.941, D_B: 0.533, G_B: 0.204, cycle_B: 0.897, gp: 0.233

[Rank 0] (epoch: 1, iters: 11200, time: 0.001, data: 0.002) , D_A: 0.468, G_A: 0.384, cycle_A: 0.593, D_B: 0.422, G_B: 1.458, cycle_B: 0.604, gp: 0.248

[Rank 0] (epoch: 1, iters: 12800, time: 0.001, data: 0.001) , D_A: 0.512, G_A: 1.203, cycle_A: 0.524, D_B: 0.625, G_B: 1.637, cycle_B: 0.489, gp: 0.307

[Rank 0] (epoch: 1, iters: 14400, time: 0.001, data: 0.002) , D_A: 0.413, G_A: 0.631, cycle_A: 0.484, D_B: 0.357, G_B: 0.745, cycle_B: 0.469, gp: 0.281

[Rank 0] (epoch: 1, iters: 16000, time: 0.001, data: 0.001) , D_A: 0.412, G_A: 0.612, cycle_A: 0.449, D_B: 0.307, G_B: 0.704, cycle_B: 0.455, gp: 0.227

[Rank 0] (epoch: 1, iters: 17600, time: 0.001, data: 0.001) , D_A: 0.420, G_A: 0.292, cycle_A: 0.462, D_B: 0.430, G_B: 0.885, cycle_B: 0.502, gp: 0.377

[Rank 0] (epoch: 1, iters: 19200, time: 0.001, data: 0.001) , D_A: 0.446, G_A: 0.431, cycle_A: 0.457, D_B: 0.298, G_B: 0.839, cycle_B: 0.459, gp: 0.255

[Rank 0] (epoch: 1, iters: 20800, time: 0.001, data: 0.001) , D_A: 0.402, G_A: 0.585, cycle_A: 0.489, D_B: 0.293, G_B: 1.188, cycle_B: 0.473, gp: 0.252

