================ Training Loss (Sat Aug  1 17:27:59 2026) ================
[Rank 0] (epoch: 1, iters: 1600, time: 0.001, data: 0.118) , D_A: 1.008, G_A: 0.131, cycle_A: 1.018, D_B: 0.758, G_B: 0.228, cycle_B: 1.114, gp: 0.484

[Rank 0] (epoch: 1, iters: 3200, time: 0.001, data: 0.001) , D_A: 0.608, G_A: 0.782, cycle_A: 0.601, D_B: 0.731, G_B: 0.851, cycle_B: 0.595, gp: 0.415

[Rank 0] (epoch: 1, iters: 4800, time: 0.001, data: 0.001) , D_A: 0.652, G_A: 0.398, cycle_A: 0.462, D_B: 0.704, G_B: 1.735, cycle_B: 0.429, gp: 0.337

[Rank 0] (epoch: 1, iters: 6400, time: 0.001, data: 0.002) , D_A: 0.495, G_A: 0.969, cycle_A: 0.364, D_B: 0.370, G_B: 0.998, cycle_B: 0.435, gp: 0.226

[Rank 0] (epoch: 1, iters: 8000, time: 0.001, data: 0.001) , D_A: 0.525, G_A: 0.118, cycle_A: 0.491, D_B: 0.353, G_B: 0.526, cycle_B: 0.601, gp: 0.207

[Rank 0] (epoch: 1, iters: 9600, time: 0.001, data: 0.001) , D_A: 0.407, G_A: 0.940, cycle_A: 0.357, D_B: 0.637, G_B: 0.148, cycle_B: 0.341, gp: 0.318

[Rank 0] (epoch: 1, iters: 11200, time: 0.001, data: 0.002) , D_A: 0.360, G_A: 0.696, cycle_A: 0.402, D_B: 0.517, G_B: 0.214, cycle_B: 0.449, gp: 0.328

[Rank 0] (epoch: 1, iters: 12800, time: 0.001, data: 0.001) , D_A: 0.386, G_A: 1.456, cycle_A: 0.320, D_B: 0.342, G_B: 1.387, cycle_B: 0.365, gp: 0.262

[Rank 0] (epoch: 1, iters: 14400, time: 0.001, data: 0.001) , D_A: 0.437, G_A: 0.524, cycle_A: 0.336, D_B: 0.462, G_B: 0.466, cycle_B: 0.327, gp: 0.308

[Rank 0] (epoch: 1, iters: 16000, time: 0.001, data: 0.001) , D_A: 0.473, G_A: 1.699, cycle_A: 0.411, D_B: 0.333, G_B: 1.196, cycle_B: 0.432, gp: 0.271

[Rank 0] (epoch: 1, iters: 17600, time: 0.001, data: 0.001) , D_A: 0.334, G_A: 1.103, cycle_A: 0.319, D_B: 0.338, G_B: 1.249, cycle_B: 0.308, gp: 0.290

