================ Training Loss (Sat Aug  1 17:29:51 2026) ================
[Rank 0] (epoch: 2, iters: 9152, time: 0.001, data: 0.001) , D_A: 0.272, G_A: 0.707, cycle_A: 0.160, D_B: 0.305, G_B: 0.940, cycle_B: 0.156, gp: 0.285

[Rank 0] (epoch: 2, iters: 10752, time: 0.001, data: 0.001) , D_A: 0.356, G_A: 0.799, cycle_A: 0.179, D_B: 0.416, G_B: 0.978, cycle_B: 0.169, gp: 0.389

[Rank 0] (epoch: 2, iters: 12352, time: 0.001, data: 0.001) , D_A: 0.329, G_A: 1.210, cycle_A: 0.175, D_B: 0.343, G_B: 0.932, cycle_B: 0.163, gp: 0.323

[Rank 0] (epoch: 2, iters: 13952, time: 0.001, data: 0.001) , D_A: 0.345, G_A: 1.131, cycle_A: 0.176, D_B: 0.556, G_B: 0.497, cycle_B: 0.157, gp: 0.296

[Rank 0] (epoch: 2, iters: 15552, time: 0.001, data: 0.001) , D_A: 0.448, G_A: 0.571, cycle_A: 0.180, D_B: 0.335, G_B: 1.028, cycle_B: 0.160, gp: 0.309

[Rank 0] (epoch: 2, iters: 17152, time: 0.001, data: 0.001) , D_A: 0.337, G_A: 1.169, cycle_A: 0.200, D_B: 0.295, G_B: 1.143, cycle_B: 0.160, gp: 0.264

[Rank 0] (epoch: 2, iters: 18752, time: 0.001, data: 0.001) , D_A: 0.339, G_A: 1.051, cycle_A: 0.187, D_B: 0.296, G_B: 0.807, cycle_B: 0.146, gp: 0.269

[Rank 0] (epoch: 2, iters: 20352, time: 0.001, data: 0.001) , D_A: 0.410, G_A: 1.194, cycle_A: 0.177, D_B: 0.328, G_B: 1.208, cycle_B: 0.156, gp: 0.294

[Rank 0] (epoch: 2, iters: 21952, time: 0.001, data: 0.001) , D_A: 0.339, G_A: 0.862, cycle_A: 0.175, D_B: 0.297, G_B: 1.018, cycle_B: 0.158, gp: 0.267

[Rank 0] (epoch: 2, iters: 23552, time: 0.001, data: 0.002) , D_A: 0.359, G_A: 1.014, cycle_A: 0.159, D_B: 0.254, G_B: 0.844, cycle_B: 0.169, gp: 0.237

[Rank 0] (epoch: 2, iters: 25152, time: 0.001, data: 0.001) , D_A: 0.384, G_A: 0.694, cycle_A: 0.190, D_B: 0.368, G_B: 1.223, cycle_B: 0.180, gp: 0.329

[Rank 0] (epoch: 2, iters: 26752, time: 0.001, data: 0.001) , D_A: 0.307, G_A: 0.976, cycle_A: 0.173, D_B: 0.370, G_B: 0.971, cycle_B: 0.171, gp: 0.346

[Rank 0] (epoch: 2, iters: 28352, time: 0.001, data: 0.001) , D_A: 0.306, G_A: 1.008, cycle_A: 0.168, D_B: 0.298, G_B: 1.062, cycle_B: 0.153, gp: 0.274

