================ Training Loss (Sat Aug  1 17:41:43 2026) ================
[Rank 0] (epoch: 1, iters: 1600, time: 0.001, data: 0.114) , D_A: 0.861, G_A: 0.069, cycle_A: 1.208, D_B: 0.683, G_B: 1.278, cycle_B: 1.189, gp: 0.364

[Rank 0] (epoch: 1, iters: 3200, time: 0.001, data: 0.001) , D_A: 0.630, G_A: 0.993, cycle_A: 0.505, D_B: 0.568, G_B: 0.530, cycle_B: 0.510, gp: 0.323

[Rank 0] (epoch: 1, iters: 4800, time: 0.001, data: 0.001) , D_A: 0.566, G_A: 0.391, cycle_A: 0.370, D_B: 0.574, G_B: 0.459, cycle_B: 0.375, gp: 0.366

[Rank 0] (epoch: 1, iters: 6400, time: 0.001, data: 0.001) , D_A: 0.461, G_A: 1.738, cycle_A: 0.500, D_B: 0.610, G_B: 0.928, cycle_B: 0.390, gp: 0.423

[Rank 0] (epoch: 1, iters: 8000, time: 0.001, data: 0.001) , D_A: 0.471, G_A: 0.754, cycle_A: 0.449, D_B: 0.476, G_B: 0.344, cycle_B: 0.364, gp: 0.366

[Rank 0] (epoch: 1, iters: 9600, time: 0.001, data: 0.001) , D_A: 0.379, G_A: 0.356, cycle_A: 0.445, D_B: 0.521, G_B: 1.046, cycle_B: 0.511, gp: 0.386

[Rank 0] (epoch: 1, iters: 11200, time: 0.001, data: 0.001) , D_A: 0.336, G_A: 1.391, cycle_A: 0.417, D_B: 0.356, G_B: 1.127, cycle_B: 0.480, gp: 0.291

[Rank 0] (epoch: 1, iters: 12800, time: 0.001, data: 0.001) , D_A: 0.327, G_A: 1.078, cycle_A: 0.361, D_B: 0.302, G_B: 0.888, cycle_B: 0.355, gp: 0.241

[Rank 0] (epoch: 1, iters: 14400, time: 0.001, data: 0.001) , D_A: 0.323, G_A: 0.813, cycle_A: 0.380, D_B: 0.437, G_B: 1.348, cycle_B: 0.346, gp: 0.336

[Rank 0] (epoch: 1, iters: 16000, time: 0.001, data: 0.001) , D_A: 0.372, G_A: 1.122, cycle_A: 0.345, D_B: 0.318, G_B: 0.631, cycle_B: 0.342, gp: 0.238

[Rank 0] (epoch: 1, iters: 17600, time: 0.001, data: 0.001) , D_A: 0.314, G_A: 0.956, cycle_A: 0.349, D_B: 0.380, G_B: 0.965, cycle_B: 0.344, gp: 0.320

[Rank 0] (epoch: 1, iters: 19200, time: 0.001, data: 0.001) , D_A: 0.344, G_A: 1.298, cycle_A: 0.363, D_B: 0.447, G_B: 1.291, cycle_B: 0.335, gp: 0.337

[Rank 0] (epoch: 1, iters: 20800, time: 0.001, data: 0.001) , D_A: 0.272, G_A: 1.074, cycle_A: 0.352, D_B: 0.375, G_B: 1.270, cycle_B: 0.329, gp: 0.256

[Rank 0] (epoch: 1, iters: 22400, time: 0.001, data: 0.001) , D_A: 0.331, G_A: 1.025, cycle_A: 0.372, D_B: 0.540, G_B: 0.425, cycle_B: 0.330, gp: 0.266

[Rank 0] (epoch: 1, iters: 24000, time: 0.001, data: 0.001) , D_A: 0.394, G_A: 0.678, cycle_A: 0.359, D_B: 0.429, G_B: 0.913, cycle_B: 0.322, gp: 0.383

